DATE,Interest rate,Consumer price index,M1 money supply,Unemployment rate,Closing price,Inflation rate,Real GDP,Real personal income,M2 money supply,Opening price,House price,Change in values of stocks,Net Exports,Labor compensation,Total capital expenditure and transactions,Outcome
Oct-77,6.47,61.6,529.9,6.8,92.3,6.39,6774.592,5593.319,1254,92.3,77.11,-4.35,-29.58,9.633911368,700865,0
Nov-77,6.51,62,530,6.8,94.8,6.724,6774.592,5637.491,1262.4,94.8,77.11,2.71,-29.58,8.952380952,700865,0
Dec-77,6.56,62.3,531.1,6.4,95.1,6.701,6774.592,5662.417,1270.3,95.1,77.11,0.32,-29.58,8.695652174,700865,0
Jan-78,6.7,62.7,533.3,6.4,89.2,6.838,6796.26,5642.502,1279.7,94.7,79.55,-6.2,-38.68,8.971962617,712417,1
Feb-78,6.78,63,532.2,6.3,87,6.43,6796.26,5667.791,1285.5,89.3,79.55,-2.47,-38.68,9.328358209,712417,1
Mar-78,6.79,63.4,531.5,6.3,89.2,6.555,6796.26,5700.022,1292.2,86.7,79.55,2.53,-38.68,8.888888889,712417,1
Apr-78,6.89,63.9,531.9,6.1,96.8,6.5,7058.92,5732.667,1300.4,88.8,82.73,8.52,-22.62,8.80733945,776392,1
May-78,7.36,64.5,534.7,6,97.2,6.965,7058.92,5739.268,1310.5,96.9,82.73,0.41,-22.62,8.561020036,776392,1
Jun-78,7.6,65,533.7,5.9,95.5,7.414,7058.92,5760.201,1318.5,97.3,82.73,-1.75,-22.62,8.483754513,776392,1
Jul-78,7.81,65.5,530.7,6.2,100.7,7.705,7129.915,5791.884,1324.1,95.2,85.14,5.45,-23.76,8.602150538,803421,1
Aug-78,8.04,65.9,530.5,5.9,103.3,7.843,7129.915,5818.097,1333.5,100.9,85.14,2.58,-23.76,8.556149733,803421,1
Sep-78,8.45,66.5,529.6,6,102.5,8.306,7129.915,5825.741,1345,103.2,85.14,-0.77,-23.76,8.849557522,803421,1
Oct-78,8.96,67.1,526.5,5.8,93.2,8.929,7225.75,5847.005,1352.3,102.3,87.46,-9.07,-16.4,8.963093146,836422,1
Nov-78,9.76,67.5,526.5,5.9,94.7,8.885,7225.75,5857.195,1359.1,94.6,87.46,1.61,-16.4,9.440559441,836422,1
Dec-78,10.03,67.9,526.2,6,96.1,9.018,7225.75,5890.505,1366,95.6,87.46,1.48,-16.4,9.739130435,836422,1
Jan-79,10.07,68.5,523.5,5.9,99.9,9.28,7238.727,5910.093,1371.6,95.8,91.37,3.95,-18.16,9.090909091,843613,1
Feb-79,10.06,69.2,520.1,5.9,96.3,9.857,7238.727,5933.423,1377.8,99.5,91.37,-3.6,-18.16,9.215017065,843613,1
Mar-79,10.09,69.9,518.6,5.8,101.6,10.095,7238.727,5951.404,1387.8,96.4,91.37,5.5,-18.16,9.693877551,843613,1
Apr-79,10.01,70.6,521.2,5.8,101.8,10.485,7246.454,5903.905,1402.1,101.1,94.46,0.2,-22.19,8.431703204,863201,1
May-79,10.24,71.4,517.6,5.6,99.1,10.853,7246.454,5883.494,1410.2,101.8,94.46,-2.65,-22.19,9.395973154,863201,1
Jun-79,10.29,72.2,517.2,5.7,102.9,10.89,7246.454,5880.39,1423,99.1,94.46,3.83,-22.19,9.151414309,863201,1
Jul-79,10.47,73,516.7,5.7,103.8,11.263,7300.281,5924.962,1434.8,102.6,96.46,0.87,-23.03,8.745874587,886213,1
Aug-79,10.94,73.7,514,6,109.3,11.818,7300.281,5934.384,1446.6,103.8,96.46,5.3,-23.03,8.866995074,886213,1
Sep-79,11.43,74.4,509.8,5.9,109.3,12.18,7300.281,5934.022,1454.1,109.1,96.46,0,-23.03,8.455284553,886213,1
Oct-79,13.77,75.2,506.4,6,101.8,12.072,7318.535,5934.119,1460.4,101.8,98.25,-6.86,-26.8,8.225806452,889684,1
Nov-79,13.18,76,501.1,5.9,106.2,12.611,7318.535,5953.221,1465.9,106.2,98.25,4.32,-26.8,7.667731629,889684,1
Dec-79,13.78,76.9,496.5,6,107.9,13.294,7318.535,5968.38,1473.7,107.9,98.25,1.6,-26.8,7.765451664,889684,1
Jan-80,13.82,78,494.6,6.3,114.2,13.909,7341.557,5976.816,1482.7,107.9,100,5.84,-35.8,7.232704403,905938,1
Feb-80,14.13,79,493.8,6.3,113.7,14.182,7341.557,5949.587,1494.6,115.4,100,-0.44,-35.8,7.5,905938,1
Mar-80,17.19,80.1,484.9,6.3,102.1,14.756,7341.557,5918.133,1499.8,102.1,100,-10.2,-35.8,7.751937984,905938,1
Apr-80,17.61,80.9,474.4,6.9,106.3,14.731,7190.289,5911.122,1502.2,106.3,101.62,4.11,-15.21,8.398133748,850934,1
May-80,10.98,81.7,471,7.5,111.2,14.406,7190.289,5892.81,1512.3,107.9,101.62,4.61,-15.21,7.668711656,850934,1
Jun-80,9.47,82.5,471.6,7.6,114.2,14.385,7190.289,5906.964,1529.2,110.9,101.62,2.7,-15.21,8.231707317,850934,1
Jul-80,9.03,82.6,477,7.8,121.7,13.133,7181.743,5950.966,1545.5,114.1,104.44,6.57,5.47,8.649468892,838886,1
